feature,importance
ca,0.6266370980640873
age_group,0.5190615517486423
oldpeak,0.4358863464073538
exang,0.4319441013643634
thalach,0.3081108893739221
slope,0.2970605297048126
sex,0.27026668073734234
age,0.24219816575439662
thal,0.2325050502118335
hr_max_age_ratio,0.1918371333407993
bp_chol_interaction,0.15287590338385515
double_product,0.14854070345760156
trestbps,0.14257685483950963
fbs,0.09237028272026383
restecg,0.07889943667772338
chol,0.062091221210848195
cp,0.029389434291354807
