model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9491341991341992
Decision Tree,0.7049180327868853,0.6470588235294118,0.7857142857142857,0.7096774193548387,0.7110389610389609
Random Forest,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9420995670995671
Support Vector Machine,0.819672131147541,0.7741935483870968,0.8571428571428571,0.8135593220338984,0.9188311688311688
KNN,0.7540983606557377,0.7096774193548387,0.7857142857142857,0.7457627118644068,0.8387445887445888
Gradient Boosting,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9502164502164503
XGBoost,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9437229437229437
